row_id,stratum,why,pickup_datetime,PULocationID,DOLocationID,passenger_count
0,hazard,"ordinary-midday: the common case: a weekday Midtown -> Upper East Side hop, all features present",2019-07-10T14:20:00,161,237,1.0
1,hazard,ordinary-weekend-night: is_weekend=1 and part_of_day at the other end of the clock,2019-07-06T02:45:00,79,107,2.0
2,hazard,"airport-jfk: JFK (132): 8.8% of trips carry 1.9x the error (M2-S4 §4) — the segment whose gap M3's geometry did not close, so the segment to watch on the wire",2019-07-09T17:30:00,132,230,1.0
3,hazard,"airport-lga: LaGuardia (138), the second airport zone",2019-07-11T08:05:00,138,161,3.0
4,hazard,"airport-ewr: Newark (1): out-of-city, the longest ordinary haul the contract admits",2019-07-12T19:40:00,1,161,1.0
5,hazard,"no-geometry-both: F-030 and DR-04 condition 1: zone 264 is TLC's 'Unknown', so all nine geometry features are NaN and has_geometry=0. 264->264 is the largest single OD 'route' in this data (409,128 trips). This row is the one that returned HTTP 422 before the wire encoding was fixed",2019-03-11T00:30:00,264,264,1.0
6,hazard,"no-geometry-one-sided: half the geometry missing: a real pickup, a 265 ('N/A') dropoff — the haversine is NaN while the borough and airport flags are still defined",2019-07-08T12:00:00,132,265,1.0
7,hazard,"unseen-od-pair: 55 -> 148 occurs 6 times in trips_test and NEVER in trips_train (asked once of the analyst layer: SELECT ... FROM trips_test LEFT JOIN DISTINCT(trips_train) ... WHERE tr.pu IS NULL ORDER BY n DESC). The floor backs off on rows like this; the booster does not, which is where 96.9% of its advantage now lives (M3 §9)",2019-07-15T13:10:00,55,148,1.0
8,hazard,"federal-holiday: is_holiday=1. This is M5-S2's spot-check row, kept on purpose: the ONE number that already exists must still be reproduced by the many",2019-07-04T09:15:00,132,48,1.0
9,hazard,near-holiday: is_near_holiday=1 without is_holiday — the flag pair that must not collapse,2019-07-03T18:00:00,236,141,1.0
10,hazard,"midnight-boundary: hour=0 exactly: hour_sin=0.0 and hour_cos=1.0, the cyclical encoding's seam",2019-07-16T00:00:00,48,68,1.0
11,hazard,"week-boundary: Monday 00:00: weekpos wraps, dayofweek=0, is_business_day=1",2019-07-15T00:00:00,100,230,1.0
12,hazard,long-haul-boundary: Bronx -> Staten Island: the 100-120 min band where KPI-12 is 0.103% and the champion's ceiling lives (M2-S4 §5). The tail is where a runtime difference would show up first,2019-07-13T11:00:00,3,6,1.0
13,hazard,passenger-count-zero: passenger_count=0 is 'not stated' and buckets to 4 — a legal value the contract admits and the naive reader assumes cannot happen,2019-07-17T15:45:00,90,234,0.0
14,hazard,"passenger-count-max: the top of the contract's admitted range, so the bucket edge is exercised",2019-07-18T21:20:00,170,162,6.0
15,hazard,"out-of-year-2026: F-019's extension in use: a date outside every month this model ever saw, inside the derived holiday table. It must parity like any other row — the refusal boundary is dates the table does NOT cover, and that is a client refusal (422) which never reaches the wire",2026-11-26T16:30:00,161,237,1.0
16,month-boundary,"before the 2019-01/2019-02 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-01-31T23:59:00,161,237,1.0
17,month-boundary,"after the 2019-01/2019-02 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-02-01T00:01:00,161,237,1.0
18,month-boundary,"before the 2019-02/2019-03 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-02-28T23:59:00,161,237,1.0
19,month-boundary,"after the 2019-02/2019-03 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-03-01T00:01:00,161,237,1.0
20,month-boundary,"before the 2019-03/2019-04 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-03-31T23:59:00,161,237,1.0
21,month-boundary,"after the 2019-03/2019-04 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-04-01T00:01:00,161,237,1.0
22,month-boundary,"before the 2019-04/2019-05 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-04-30T23:59:00,161,237,1.0
23,month-boundary,"after the 2019-04/2019-05 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-05-01T00:01:00,161,237,1.0
24,month-boundary,"before the 2019-05/2019-06 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-05-31T23:59:00,161,237,1.0
25,month-boundary,"after the 2019-05/2019-06 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-06-01T00:01:00,161,237,1.0
26,month-boundary,"before the 2019-06/2019-07 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-06-30T23:59:00,161,237,1.0
27,month-boundary,"after the 2019-06/2019-07 boundary, 120s from its twin: the two rows MUST be served different windows, and a naive join cannot tell them apart",2019-07-01T00:01:00,161,237,1.0
28,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-02-07T17:19:29,162,162,1.0
29,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-05-11T03:16:09,114,255,0.0
30,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-04-13T04:26:26,79,47,3.0
31,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-04-28T22:05:08,226,226,2.0
32,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-03-01T09:18:46,237,230,2.0
33,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-03-02T15:38:41,246,166,1.0
34,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-03-22T18:29:20,229,202,2.0
35,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-03-01T20:47:47,231,68,1.0
36,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-01-08T15:30:02,236,143,1.0
37,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-04-23T23:02:26,68,68,1.0
38,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-06-09T16:20:11,143,238,1.0
39,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-03-13T07:16:17,90,107,1.0
40,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-01-07T21:25:12,48,164,5.0
41,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-06-25T07:12:51,186,161,6.0
42,ordinary,"the common case: both zones have geometry, neither is an airport, 5-30 minutes — the rows that dominate every published number",2019-04-21T22:32:01,79,140,1.0
43,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-04-25T20:50:28,132,265,2.0
44,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-03-28T06:41:34,43,132,5.0
45,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-03-05T15:58:39,132,231,1.0
46,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-02-11T08:20:25,138,234,2.0
47,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-04-05T13:01:22,164,138,2.0
48,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-03-21T08:36:11,138,230,1.0
49,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-05-11T16:22:18,138,88,0.0
50,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-05-16T14:33:37,238,1,1.0
51,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-04-13T23:10:25,132,230,2.0
52,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-02-19T18:29:14,138,164,2.0
53,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-02-20T21:44:32,132,142,1.0
54,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-03-19T18:53:03,90,132,4.0
55,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-02-08T11:23:10,138,230,1.0
56,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-06-25T23:54:57,132,161,2.0
57,airport,JFK/LGA/EWR: 8.8% of trips carrying 1.86-2.35x the error across three measurements (docs/error_memo_m2.md 7 row 2) — the segment the catalog's airport_regime_flag candidate exists for,2019-01-09T08:30:50,132,230,1.0
58,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-03-13T11:16:23,264,264,1.0
59,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-04-25T20:50:28,132,265,2.0
60,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-03-25T00:43:04,264,264,1.0
61,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-01-07T23:04:26,186,265,1.0
62,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-04-29T05:48:05,264,186,1.0
63,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-01-06T18:41:38,264,264,1.0
64,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-01-21T20:08:58,264,264,1.0
